"product_link","product_img","product_name","product_price","product_slash_price","product_discount","product_price_discount","product_rating","product_sales"
"https://www.tokopedia.com/asus/asus-vivobook-go-e1404fa-vips554-cool-silver-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/9/018c1ce9-99aa-4760-9113-006e79762c8c.jpg","ASUS Vivobook Go E1404FA-VIPS554 - Cool Silver [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS]","Rp8.799.000","Rp9.099.000","3%","Diskon 879,9rb","5.0","30+ terjual"
"https://www.tokopedia.com/asus/asus-vivobook-go-e1404fa-vips553-green-grey-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/9/4cfedb50-ef0d-4976-88f1-7dd0986ec9c6.jpg","ASUS Vivobook Go E1404FA-VIPS553 - Green Grey [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS]","Rp8.799.000","Rp9.099.000","3%","Diskon 879,9rb","5.0","10 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-go-e1404fa-vips552m-mixed-black-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/21/ab627d15-f65f-40ec-95d1-15d17d0b4241.jpg","ASUS Vivobook Go E1404FA-VIPS552M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS / M365]","Rp8.799.000","Rp9.099.000","3%","Diskon 879,9rb","5.0","3 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-go-e1404fa-vips552-mixed-black-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D12669178","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/9/22ac5061-43d8-4029-92f6-fe14f10244c1.jpg","ASUS Vivobook Go E1404FA-VIPS552 - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS]","Rp8.799.000","Rp9.099.000","3%","Diskon 879,9rb","4.9","26 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-go-14-e1404fa-vips559m-cool-silver-amd-ryzen-5-7520u-amd-radeon-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/9/0790735f-5142-4b60-a7d7-c00c6d145062.jpg","ASUS Vivobook Go 14 E1404FA-VIPS559M - Cool Silver [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]","Rp8.199.000","Rp8.499.000","4%","Diskon 819,9rb","5.0","5 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-m1405ya-vips555-cool-silver-amd-ryzen-5-7430u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D12669178","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/13/7d45886e-2f16-42cd-83c0-9abd29904ca0.jpg","ASUS Vivobook 14 M1405YA-VIPS555 - Cool Silver [AMD Ryzen 5 7430U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS]","Rp9.099.000","Rp9.399.000","3%","Diskon 909,9rb","5.0","5 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-s14-flip-tn3402ya-vips558m-quiet-blue-amd-ryzen-5-7430u-amd-radeon-graphics-16gb-512gb-14inch-touch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/9/483d56de-bd26-4243-89de-54b39db0f471.jpg","ASUS Vivobook S14 Flip TN3402YA-VIPS558M - Quiet Blue [AMD Ryzen 5 7430U / AMD Radeon Graphics / 16GB / 512GB / 14inch Touch / WIN11 / OHS / M365]","Rp11.699.000","Rp12.499.000","6%","Diskon 1,1jt","4.0","3 terjual"
"https://www.tokopedia.com/asus/asus-tuf-gaming-f15-fx507vu-i745k6m-om-mecha-gray-intel-core-i7-13620h-nvidia-geforce-rtx-4050-16gb-512gb-15-6inch-win11-m365-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/4/6bb5c3be-16e6-4e44-94b6-243b5df3a6d4.jpg","ASUS TUF Gaming F15 FX507VU-I745K6M-OM - Mecha Gray [Intel Core i7-13620H / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 15.6inch / WIN11 / M365 / OHS]","Rp18.999.000","Rp21.499.000","12%","Diskon 1,2jt","5.0","4 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips712m-transparent-silver-intel-core-i7-1355u-intel-iris-xe-graphics-16gb-1tb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/1/a42f9cc7-a909-478e-9a58-884867ac1d65.jpg","ASUS Vivobook 14 A1404VA-VIPS712M - Transparent Silver [Intel Core i7-1355U / Intel Iris Xe Graphics / 16GB / 1TB / 14inch / WIN11 / OHS / M365]","Rp12.399.000","Rp13.199.000","6%","Diskon 1,2jt","4.7","15 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips711-quiet-blue-intel-core-i7-1355u-intel-iris-xe-graphics-16gb-1tb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D12669178","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/7/4e0c7930-f9d7-4485-828a-6c5250bedc22.jpg","ASUS Vivobook 14 A1404VA-VIPS711 - Quiet Blue [Intel Core i7-1355U / Intel Iris Xe Graphics / 16GB / 1TB / 14inch / WIN11 / OHS]","Rp12.399.000","Rp13.199.000","6%","Diskon 1,2jt","4.8","30+ terjual"
